('PRT', 'CONJ', '.') = 1
('CONJ', 'VERB', 'DET') = 728
('PRON', 'ADP', 'DET') = 731
('CONJ', 'NOUN', 'ADP') = 741
('', '', 'ADJ') = 745
('ADV', 'VERB', '.') = 753
('CONJ', 'VERB', 'ADP') = 755
('.', '.', 'NOUN') = 762
('.', 'CONJ', 'VERB') = 767
('ADP', 'VERB', 'NOUN') = 770
('CONJ', 'NOUN', 'NOUN') = 778
('PRT', 'VERB', '.') = 782
('', 'ADV', '.') = 785
('PRT', 'VERB', 'VERB') = 787
('CONJ', 'NOUN', 'VERB') = 794
('ADP', 'NUM', 'NOUN') = 801
('VERB', 'CONJ', 'VERB') = 802
('NOUN', 'DET', 'NOUN') = 805
('.', 'PRT', 'VERB') = 813
('NOUN', 'ADV', 'VERB') = 818
('NOUN', 'ADV', '.') = 819
('PRON', 'VERB', 'NOUN') = 822
('ADV', 'ADJ', '.') = 831
('ADJ', 'CONJ', 'ADJ') = 832
('VERB', 'VERB', 'NOUN') = 836
('.', 'CONJ', 'PRON') = 840
('VERB', 'VERB', 'ADJ') = 840
('PRT', 'VERB', 'PRON') = 845
('PRT', 'DET', 'NOUN') = 867
('PRT', 'VERB', 'NOUN') = 870
('VERB', 'NOUN', 'VERB') = 870
('PRT', 'ADP', 'DET') = 874
('.', '.', 'PRON') = 887
('DET', 'NOUN', 'PRT') = 897
('ADV', 'ADJ', 'ADP') = 904
('.', 'CONJ', 'DET') = 910
('.', 'NOUN', 'NOUN') = 915
('.', 'ADP', 'NOUN') = 923
('.', 'VERB', 'ADP') = 929
('VERB', 'VERB', 'PRON') = 931
('NOUN', 'VERB', 'NOUN') = 942
('.', 'ADJ', 'NOUN') = 969
('PRON', 'VERB', 'ADJ') = 981
('VERB', 'ADP', 'ADJ') = 988
('VERB', 'PRT', 'ADP') = 995
('ADV', 'ADJ', 'NOUN') = 1001
('', '', 'CONJ') = 1009
('DET', 'NOUN', 'PRON') = 1009
('VERB', 'ADV', 'ADV') = 1016
('DET', 'ADJ', 'ADJ') = 1018
('.', 'ADV', '.') = 1023
('', '', 'VERB') = 1035
('VERB', 'PRON', 'ADP') = 1037
('CONJ', 'ADJ', 'NOUN') = 1045
('.', 'VERB', 'DET') = 1046
('ADV', 'VERB', 'DET') = 1063
('.', 'DET', 'ADJ') = 1069
('VERB', 'ADJ', '.') = 1073
('VERB', 'NOUN', 'NOUN') = 1078
('VERB', 'ADJ', 'ADP') = 1093
('CONJ', 'NOUN', '.') = 1102
('NOUN', 'CONJ', 'DET') = 1105
('NOUN', 'NOUN', 'CONJ') = 1107
('', 'DET', 'ADJ') = 1131
('VERB', '.', '.') = 1134
('ADV', 'DET', 'NOUN') = 1135
('.', 'NOUN', 'VERB') = 1142
('', '', 'PRT') = 1165
('PRT', 'VERB', 'ADP') = 1197
('NOUN', 'VERB', 'PRT') = 1216
('NOUN', '.', 'PRON') = 1234
('ADJ', 'NOUN', 'CONJ') = 1277
('VERB', 'ADV', 'ADJ') = 1296
('CONJ', 'PRON', 'VERB') = 1317
('NOUN', 'VERB', 'ADJ') = 1318
('PRON', 'VERB', 'PRON') = 1318
('', 'ADP', 'DET') = 1331
('NOUN', '.', 'ADV') = 1333
('VERB', 'VERB', 'ADV') = 1339
('NOUN', 'ADP', 'VERB') = 1341
('VERB', 'ADV', '.') = 1358
('NOUN', 'ADP', 'PRON') = 1361
('DET', 'NOUN', 'ADV') = 1383
('ADV', 'VERB', 'ADP') = 1395
('ADP', 'NOUN', 'CONJ') = 1405
('VERB', 'PRON', '.') = 1423
('ADV', 'PRON', 'VERB') = 1423
('PRON', 'VERB', 'PRT') = 1431
('ADJ', '.', 'STOP') = 1435
('PRON', '.', 'STOP') = 1438
('ADP', 'DET', 'VERB') = 1451
('VERB', 'ADJ', 'NOUN') = 1493
('VERB', 'ADP', 'PRON') = 1493
('VERB', 'PRON', 'VERB') = 1499
('NOUN', 'VERB', '.') = 1519
('ADJ', 'ADP', 'DET') = 1525
('ADP', 'PRON', '.') = 1528
('NOUN', 'CONJ', 'VERB') = 1538
('CONJ', 'DET', 'NOUN') = 1539
('VERB', 'VERB', 'PRT') = 1561
('VERB', 'ADV', 'ADP') = 1566
('.', 'ADP', 'DET') = 1659
('ADP', 'NOUN', 'VERB') = 1761
('NOUN', 'PRT', 'VERB') = 1768
('', 'NOUN', 'VERB') = 1775
('PRON', 'VERB', '.') = 1786
('ADJ', 'ADJ', 'NOUN') = 1802
('ADV', '.', 'STOP') = 1874
('VERB', 'VERB', '.') = 1878
('ADV', 'ADP', 'DET') = 1928
('DET', 'VERB', 'NOUN') = 1933
('NOUN', 'NOUN', 'NOUN') = 1942
('VERB', 'VERB', 'DET') = 2024
('NOUN', 'PRON', 'VERB') = 2071
('NOUN', '.', 'ADP') = 2096
('PRON', 'VERB', 'ADP') = 2132
('.', 'NOUN', '.') = 2154
('DET', 'NOUN', 'CONJ') = 2163
('ADJ', 'NOUN', 'NOUN') = 2225
('VERB', 'VERB', 'VERB') = 2242
('VERB', 'NOUN', '.') = 2315
('VERB', 'NOUN', 'ADP') = 2335
('NOUN', '.', 'DET') = 2449
('NOUN', 'VERB', 'DET') = 2505
('PRT', 'VERB', 'DET') = 2525
('', '', 'ADV') = 2529
('PRON', 'VERB', 'DET') = 2539
('VERB', 'ADV', 'VERB') = 2569
('PRON', 'VERB', 'ADV') = 2600
('NOUN', '.', 'NOUN') = 2624
('.', 'DET', 'NOUN') = 2643
('NOUN', '.', 'VERB') = 2661
('NOUN', 'ADP', 'ADJ') = 2725
('NOUN', 'NOUN', 'ADP') = 2789
('NOUN', 'CONJ', 'NOUN') = 2835
('ADP', 'PRON', 'VERB') = 2871
('NOUN', 'VERB', 'ADV') = 2879
('', '', 'ADP') = 2931
('ADP', 'NOUN', 'NOUN') = 2937
('NOUN', '.', 'CONJ') = 2945
('ADP', 'NOUN', 'ADP') = 3009
('VERB', 'ADP', 'NOUN') = 3037
('.', '.', 'STOP') = 3117
('VERB', 'PRT', 'VERB') = 3252
('NOUN', '.', '.') = 3274
('', 'DET', 'NOUN') = 3291
('NOUN', 'NOUN', 'VERB') = 3305
('VERB', 'DET', 'ADJ') = 3310
('NOUN', 'VERB', 'ADP') = 3327
('VERB', '.', 'STOP') = 3411
('ADJ', 'NOUN', 'VERB') = 3427
('', '', 'NOUN') = 3472
('', '', '.') = 3513
('.', 'PRON', 'VERB') = 3634
('ADP', 'ADJ', 'NOUN') = 3883
('VERB', 'VERB', 'ADP') = 4291
('ADP', 'NOUN', '.') = 4921
('PRON', 'VERB', 'VERB') = 5022
('', 'PRON', 'VERB') = 5047
('DET', 'NOUN', 'NOUN') = 5172
('', '', 'DET') = 5315
('', '', 'PRON') = 5336
('NOUN', 'NOUN', '.') = 5746
('NOUN', 'VERB', 'VERB') = 5907
('ADJ', 'NOUN', 'ADP') = 6603
('ADP', 'DET', 'ADJ') = 6793
('DET', 'NOUN', 'VERB') = 6861
('VERB', 'ADP', 'DET') = 7374
('ADJ', 'NOUN', '.') = 7478
('NOUN', 'ADP', 'NOUN') = 8763
('VERB', 'DET', 'NOUN') = 9003
('DET', 'NOUN', '.') = 9756
('DET', 'ADJ', 'NOUN') = 11374
('DET', 'NOUN', 'ADP') = 12155
('NOUN', 'ADP', 'DET') = 13213
('NOUN', '.', 'STOP') = 14763
('ADP', 'DET', 'NOUN') = 20625
