inside tagger function

getting E values...
underneath|ADP=4.55504775208e-05
buzzes|NOUN=8.28020203693e-06
handbag|NOUN=2.48406061108e-05
Rice|NOUN=1.65604040739e-05
atmospheres|NOUN=4.14010101846e-05
quam|X=0.00169491525424
zeal|NOUN=8.28020203693e-06
Only|ADV=0.00169779286927
empower|VERB=1.11400753069e-05
trained|VERB=0.000278501882673
Journalism|NOUN=8.28020203693e-06
misunderstanding|VERB=1.11400753069e-05
Civic|ADJ=5.4845609609e-05
molten|ADJ=5.4845609609e-05
Which|DET=0.00022164524096
urinals|NOUN=8.28020203693e-06
Mortar|NOUN=8.28020203693e-06
games|NOUN=8.28020203693e-05
Code|NOUN=0.00010764262648
mg|NOUN=6.62416162954e-05
1927|NUM=0.00015006002401
handclasp|NOUN=1.65604040739e-05
loin|NOUN=8.28020203693e-06
intervened|VERB=2.22801506138e-05
portraying|VERB=1.11400753069e-05
tiredly|ADV=3.61232525377e-05
269|NUM=0.00015006002401
kinesthetic|ADJ=0.000109691219218
freight's|NOUN=8.28020203693e-06
gigantic|ADJ=0.000164536828827
purpose|NOUN=0.00051337252629
Julio|NOUN=8.28020203693e-06
solidarity|NOUN=6.62416162954e-05
Descriptive|ADJ=2.74228048045e-05
overall|ADJ=0.00024680524324
despoiling|VERB=1.11400753069e-05
flotation-type|ADJ=2.74228048045e-05
Welcome|NOUN=8.28020203693e-06
Hewlitt|NOUN=8.28020203693e-06
blurted|VERB=2.22801506138e-05
residual|ADJ=2.74228048045e-05
Grimm|NOUN=8.28020203693e-06
longshot|NOUN=8.28020203693e-06
mole|NOUN=1.65604040739e-05
squeal|NOUN=8.28020203693e-06
crop|NOUN=3.31208081477e-05
hide|NOUN=2.48406061108e-05
novelists|NOUN=8.28020203693e-06
Laboratories|NOUN=1.65604040739e-05
specially|ADV=0.000216739515226
skeletons|NOUN=8.28020203693e-06
plopped|VERB=1.11400753069e-05
oceanographic|ADJ=5.4845609609e-05
causing|NOUN=8.28020203693e-06
green-tinted|ADJ=2.74228048045e-05
newspaper|NOUN=0.000231845657034
turtle|NOUN=2.48406061108e-05
Mason|NOUN=4.14010101846e-05
Unique|ADJ=2.74228048045e-05
extracted|VERB=5.57003765345e-05
mailboxes|NOUN=3.31208081477e-05
follow-ups|NOUN=8.28020203693e-06
Macrophages|NOUN=8.28020203693e-06
blonde-headed|ADJ=2.74228048045e-05
register|VERB=3.34202259207e-05
beets|NOUN=8.28020203693e-06
hat|NOUN=0.000339488283514
fix|NOUN=8.28020203693e-06
faintest|ADJ=8.22684144134e-05
individualized|VERB=2.22801506138e-05
reputation|NOUN=6.62416162954e-05
Yancy-6|NOUN=8.28020203693e-06
relying|VERB=2.22801506138e-05
medieval|ADJ=0.000301650852849
climax|NOUN=1.65604040739e-05
$2,323,867|NOUN=8.28020203693e-06
theoretically|ADV=0.000108369757613
mid-section|NOUN=8.28020203693e-06
chapters|NOUN=8.28020203693e-06
Nebraska|NOUN=8.28020203693e-06
coincided|VERB=1.11400753069e-05
Aphrodite|NOUN=8.28020203693e-06
excluded|VERB=5.57003765345e-05
barbed-wire|NOUN=8.28020203693e-06
Typically|ADV=3.61232525377e-05
fellows|NOUN=4.96812122216e-05
Angel's|NOUN=1.65604040739e-05
supportive|ADJ=0.000191959633631
states'|NOUN=8.28020203693e-06
automatic|NOUN=8.28020203693e-06
Red's|NOUN=8.28020203693e-06
u.|NOUN=8.28020203693e-06
6(j)|NUM=0.00015006002401
detector|NOUN=1.65604040739e-05
Mercury|NOUN=1.65604040739e-05
ill-conceived|ADJ=2.74228048045e-05
feminine|ADJ=0.000109691219218
seas|NOUN=2.48406061108e-05
next-door|ADJ=2.74228048045e-05
long-familiar|ADJ=2.74228048045e-05
self-satisfaction|NOUN=2.48406061108e-05
Viall|NOUN=1.65604040739e-05
Herry's|NOUN=8.28020203693e-06
press|NOUN=0.00010764262648
1908|NUM=0.000450180072029
aging|VERB=2.22801506138e-05
extraction|NOUN=1.65604040739e-05
roundup|NOUN=8.28020203693e-06
sensitive|ADJ=0.000658147315307
dictate|VERB=1.11400753069e-05
induce|VERB=3.34202259207e-05
Exemption|NOUN=8.28020203693e-06
tosses|NOUN=8.28020203693e-06
beyond|ADP=0.000941376535431
outrage|NOUN=8.28020203693e-06
urging|VERB=2.22801506138e-05
carvings|NOUN=8.28020203693e-06
idealized|VERB=2.22801506138e-05
Music|NOUN=4.14010101846e-05
Sympathy|NOUN=1.65604040739e-05
magic|ADJ=8.22684144134e-05
Pressure-happy|ADJ=2.74228048045e-05
experience|VERB=6.68404518415e-05
requirements|NOUN=0.000389169495736
eloquent|ADJ=5.4845609609e-05
knowledgeable|ADJ=2.74228048045e-05
de-iodinate|VERB=1.11400753069e-05
deceived|VERB=2.22801506138e-05
large-enough|ADJ=2.74228048045e-05
bilinear|ADJ=2.74228048045e-05
younger|ADJ=0.000411342072067
callousness|NOUN=8.28020203693e-06
hive|NOUN=8.28020203693e-06
ft.|X=0.00169491525424
contestants|NOUN=1.65604040739e-05
anecdotes|NOUN=8.28020203693e-06
influence|NOUN=0.000331208081477
industry's|NOUN=0.00010764262648
trapdoor|NOUN=8.28020203693e-06
mourning|VERB=2.22801506138e-05
Intensification|NOUN=8.28020203693e-06
contractual|ADJ=0.000164536828827
Silesia|NOUN=1.65604040739e-05
all-consuming|ADJ=2.74228048045e-05
luxuriosly-upholstered|ADJ=2.74228048045e-05
Reuben|NOUN=1.65604040739e-05
Businessmen|NOUN=8.28020203693e-06
fallout|NOUN=9.93624244432e-05
catcher's|NOUN=8.28020203693e-06
compares|VERB=3.34202259207e-05
projects|NOUN=0.000314647677403
outlines|NOUN=3.31208081477e-05
instances|NOUN=7.45218183324e-05
Meanwhile|ADV=0.00046960228299
grand|ADJ=0.000191959633631
entirety|NOUN=3.31208081477e-05
Oxford|NOUN=3.31208081477e-05
owe|VERB=6.68404518415e-05
plain|NOUN=2.48406061108e-05
Chicago's|NOUN=3.31208081477e-05
queen|NOUN=8.28020203693e-05
early|ADJ=0.00219382438436
male|ADJ=0.000137114024022
coal|NOUN=6.62416162954e-05
calculating|VERB=2.22801506138e-05
garden|NOUN=0.000157323838702
broker|NOUN=8.28020203693e-06
Tie|VERB=1.11400753069e-05
during|ADP=0.00274821214376
mankind|NOUN=6.62416162954e-05
negotiations|NOUN=1.65604040739e-05
low-class|NOUN=8.28020203693e-06
A|DET=0.00850167817111
ravages|NOUN=8.28020203693e-06
Garnett|NOUN=8.28020203693e-06
needle|NOUN=5.79614142585e-05
substitute|ADJ=5.4845609609e-05
afferent|ADJ=2.74228048045e-05
reproducing|VERB=1.11400753069e-05
mission|NOUN=0.000223565454997
meteors|NOUN=3.31208081477e-05
relentlessly|ADV=7.22465050753e-05
building|NOUN=0.000455411112031
metaphysicals|NOUN=8.28020203693e-06
Iroquois|NOUN=8.28020203693e-06
1934|NUM=0.000300120048019
sabotage|NOUN=1.65604040739e-05
layette|NOUN=8.28020203693e-06
calm|NOUN=2.48406061108e-05
Hapgood|NOUN=1.65604040739e-05
high-speed|NOUN=3.31208081477e-05
cadence|NOUN=8.28020203693e-06
jumped|VERB=0.000222801506138
breach|NOUN=1.65604040739e-05
beast|NOUN=4.14010101846e-05
greet|VERB=4.45603012276e-05
restraining|VERB=5.57003765345e-05
unwanted|ADJ=0.000137114024022
regular-featured|ADJ=2.74228048045e-05
panic|VERB=2.22801506138e-05
Ingbar|NOUN=8.28020203693e-06
Delta|NOUN=1.65604040739e-05
easiest|ADJ=8.22684144134e-05
gentlemen|NOUN=7.45218183324e-05
Realtors|NOUN=8.28020203693e-06
Everywhere|ADV=3.61232525377e-05
Booth|NOUN=1.65604040739e-05
exhibits|VERB=1.11400753069e-05
soccer|NOUN=8.28020203693e-06
millenium|NOUN=8.28020203693e-06
tails|NOUN=4.14010101846e-05
incompleteness|NOUN=8.28020203693e-06
tactile|ADJ=5.4845609609e-05
Operational|ADJ=2.74228048045e-05
North|ADJ=0.000383919267263
respect|NOUN=0.000587894344622
Broadway|NOUN=4.96812122216e-05
punks|NOUN=8.28020203693e-06
mine|NOUN=0.00010764262648
parasitic|ADJ=5.4845609609e-05
borough|NOUN=8.28020203693e-06
Rock|NOUN=7.45218183324e-05
framing|VERB=2.22801506138e-05
Public|ADJ=0.000411342072067
devoted|VERB=0.000256221732059
coning|VERB=2.22801506138e-05
indefinity|NOUN=8.28020203693e-06
542,250|NUM=0.00015006002401
occasions|NOUN=0.000124203030554
dishwashers|NOUN=8.28020203693e-06
genesis|NOUN=1.65604040739e-05
puncher|NOUN=2.48406061108e-05
Transmission|NOUN=8.28020203693e-06
footstep|NOUN=1.65604040739e-05
freighter|NOUN=1.65604040739e-05
Meanings|NOUN=8.28020203693e-06
Neither|DET=0.000126654423406
remedial|ADJ=2.74228048045e-05
Salle|NOUN=8.28020203693e-06
operetta|NOUN=3.31208081477e-05
shame|VERB=1.11400753069e-05
Questions|NOUN=2.48406061108e-05
trash|NOUN=1.65604040739e-05
10.2|NUM=0.00015006002401
offensive|ADJ=2.74228048045e-05
unanimous|ADJ=5.4845609609e-05
Doerner's|NOUN=8.28020203693e-06
thee|PRON=0.000110176649895
beforehand|ADV=3.61232525377e-05
croaks|NOUN=8.28020203693e-06
niger|NOUN=8.28020203693e-06
minorities|NOUN=1.65604040739e-05
Tjokorda|NOUN=8.28020203693e-06
Moments|NOUN=8.28020203693e-06
proof|NOUN=0.000115922828517
intelligent|ADJ=0.000301650852849
ticked|VERB=1.11400753069e-05
plateau|NOUN=8.28020203693e-06
estimating|VERB=1.11400753069e-05
involvement|NOUN=3.31208081477e-05
ready-made|ADJ=8.22684144134e-05
Dexter|NOUN=8.28020203693e-06
Places|NOUN=8.28020203693e-06
Meeting|NOUN=1.65604040739e-05
compare|VERB=0.000100260677762
restraints|NOUN=5.79614142585e-05
super|ADJ=2.74228048045e-05
curtains|NOUN=4.96812122216e-05
Church's|NOUN=8.28020203693e-06
Visiting|VERB=1.11400753069e-05
arrears|NOUN=1.65604040739e-05
sullen|ADJ=0.000191959633631
Brooke|NOUN=8.28020203693e-06
blow|NOUN=0.000132483232591
shortcomings|NOUN=1.65604040739e-05
Rifle|NOUN=1.65604040739e-05
involving|VERB=0.000167101129604
madness|NOUN=8.28020203693e-06
downward|ADJ=0.000137114024022
murdered|VERB=7.79805271484e-05
re-emergence|NOUN=8.28020203693e-06
conciseness|NOUN=8.28020203693e-06
bronchioles|NOUN=7.45218183324e-05
Taxes|NOUN=8.28020203693e-06
doubtless|ADV=0.000216739515226
dirge|NOUN=8.28020203693e-06
wells|NOUN=8.28020203693e-06
placement|NOUN=6.62416162954e-05
Channel-type|ADJ=5.4845609609e-05
bathroom|NOUN=0.000115922828517
Gilbert|NOUN=8.28020203693e-06
namely|ADV=0.00061409529314
1515|NUM=0.00015006002401
too-hearty|ADJ=2.74228048045e-05
Bunch|NOUN=8.28020203693e-06
landlord's|NOUN=8.28020203693e-06
Boeing|NOUN=8.28020203693e-06
test|NOUN=0.000447130909994
Blood|NOUN=4.14010101846e-05
slowed|VERB=0.000133680903683
Syndicated|VERB=1.11400753069e-05
denounce|VERB=1.11400753069e-05
talk|VERB=0.000790945346791
geldings|NOUN=8.28020203693e-06
ever-tightening|ADJ=2.74228048045e-05
embellished|VERB=1.11400753069e-05
low|ADJ=0.00279712609006
wallowed|VERB=1.11400753069e-05
Scared|VERB=1.11400753069e-05
pregnancy|NOUN=3.31208081477e-05
Flor|NOUN=8.28020203693e-06
wainscoted|ADJ=2.74228048045e-05
Diversification|NOUN=8.28020203693e-06
flowing|VERB=8.91206024553e-05
Bibliography|NOUN=8.28020203693e-06
lyricism|NOUN=8.28020203693e-06
plaque|NOUN=8.28020203693e-06
vision|NOUN=0.000248406061108
Dubin|NOUN=8.28020203693e-06
distractedly|ADV=3.61232525377e-05
tankers|NOUN=8.28020203693e-06
fright|NOUN=8.28020203693e-06
adversary|NOUN=1.65604040739e-05
other|ADJ=0.0197444194592
Cain|NOUN=8.28020203693e-06
tank|NOUN=4.96812122216e-05
flailing|VERB=3.34202259207e-05
catch|NOUN=8.28020203693e-06
rejoicing|VERB=2.22801506138e-05
Hattie|NOUN=8.28020203693e-06
record-high|ADJ=2.74228048045e-05
Explicit|ADJ=2.74228048045e-05
budding|VERB=1.11400753069e-05
recruitment|NOUN=8.28020203693e-06
Gilborn|NOUN=0.000132483232591
chase|VERB=3.34202259207e-05
exploit|VERB=2.22801506138e-05
Upper|ADJ=5.4845609609e-05
president's|NOUN=3.31208081477e-05
L.|NOUN=9.93624244432e-05
lemonade|NOUN=1.65604040739e-05
gifts|NOUN=8.28020203693e-06
Days|NOUN=8.28020203693e-06
dwarfed|VERB=1.11400753069e-05
encounters|VERB=1.11400753069e-05
superiority|NOUN=3.31208081477e-05
halfway|ADV=0.000361232525377
/r/|NOUN=8.28020203693e-06
probabilities|NOUN=0.000124203030554
scars|NOUN=4.96812122216e-05
Extraordinary|ADJ=2.74228048045e-05
relied|VERB=6.68404518415e-05
softened|VERB=3.34202259207e-05
belligerently|ADV=3.61232525377e-05
minister's|NOUN=8.28020203693e-06
prepositional|ADJ=8.22684144134e-05
genius|NOUN=4.96812122216e-05
instinctively|ADV=0.000180616262688
Anti-A|ADJ=2.74228048045e-05
Whoever|PRON=0.000220353299791
easel|NOUN=3.31208081477e-05
alleging|VERB=1.11400753069e-05
bishops|NOUN=1.65604040739e-05
in|PRT=0.01779541672
rockin'|ADJ=2.74228048045e-05
Jackman|NOUN=8.28020203693e-06
Charming|ADJ=2.74228048045e-05
good-news|NOUN=8.28020203693e-06
incur|VERB=1.11400753069e-05
nonspecifically|ADV=0.000108369757613
Harper's|NOUN=3.31208081477e-05
charity|NOUN=1.65604040739e-05
Teaching|VERB=1.11400753069e-05
lenient|ADJ=5.4845609609e-05
gratuitously|ADV=3.61232525377e-05
displeasure|NOUN=2.48406061108e-05
anti-submarine|ADJ=2.74228048045e-05
direct-sum|NOUN=1.65604040739e-05
Bali|NOUN=8.28020203693e-06
talking|VERB=0.000590423991266
Satires|NOUN=2.48406061108e-05
grooms|NOUN=8.28020203693e-06
contradiction|NOUN=4.96812122216e-05
celebrities|NOUN=8.28020203693e-06
axially|ADV=3.61232525377e-05
sector|NOUN=2.48406061108e-05
Somebody'll|PRT=6.40122903597e-05
junk|NOUN=1.65604040739e-05
maid|NOUN=0.000124203030554
manic|ADJ=5.4845609609e-05
feasibility|NOUN=2.48406061108e-05
insert|VERB=1.11400753069e-05
Antiquity|NOUN=8.28020203693e-06
lock|VERB=1.11400753069e-05
Somers|NOUN=4.96812122216e-05
future|NOUN=0.000438850707957
homopolymers|NOUN=8.28020203693e-06
Eyes|NOUN=8.28020203693e-05
nonparticulate|ADJ=2.74228048045e-05
Joneses|NOUN=8.28020203693e-06
Evaluation|NOUN=1.65604040739e-05
respectable|ADJ=0.000191959633631
toe|VERB=2.22801506138e-05
editing|NOUN=8.28020203693e-06
overhearing|VERB=1.11400753069e-05
tired|ADJ=0.000109691219218
bugging|VERB=3.34202259207e-05
potent|ADJ=0.000137114024022
fouled|VERB=1.11400753069e-05
sober|ADJ=0.000329073657654
fake|VERB=1.11400753069e-05
reunions|NOUN=8.28020203693e-06
soutane|NOUN=8.28020203693e-06
march|VERB=1.11400753069e-05
possesses|VERB=4.45603012276e-05
retention|NOUN=8.28020203693e-05
feudalistic|ADJ=2.74228048045e-05
motivation|NOUN=4.96812122216e-05
pint-sized|ADJ=2.74228048045e-05
cross|VERB=0.00014482097899
notable|ADJ=5.4845609609e-05
facilitate|VERB=3.34202259207e-05
drugstore|NOUN=4.14010101846e-05
Russ|NOUN=0.000165604040739
Staff|NOUN=8.28020203693e-06
Voting|VERB=2.22801506138e-05
$44.3-billion|NOUN=8.28020203693e-06
Crystallography|NOUN=8.28020203693e-06
balancing|VERB=1.11400753069e-05
helping|VERB=0.000155961054297
gasping|VERB=5.57003765345e-05
Elaine's|NOUN=8.28020203693e-06
longshoremen|NOUN=8.28020203693e-06
loan|NOUN=0.000182164444812
proton|NOUN=8.28020203693e-06
ruinous|ADJ=2.74228048045e-05
onct|ADP=1.51834925069e-05
firebug|NOUN=8.28020203693e-06
Bob|NOUN=4.14010101846e-05
adjudicate|VERB=1.11400753069e-05
coaxed|VERB=1.11400753069e-05
net-like|ADJ=2.74228048045e-05
Universal|ADJ=8.22684144134e-05
cloth|NOUN=0.000165604040739
May|NOUN=0.00032292787944
strung|VERB=2.22801506138e-05
Adrar|NOUN=8.28020203693e-06
lagoon|NOUN=0.00010764262648
hangers|NOUN=8.28020203693e-06
historically|ADV=0.000144493010151
Tolley|NOUN=4.96812122216e-05
shrewdly|ADV=3.61232525377e-05
subtract|VERB=1.11400753069e-05
Gibson|NOUN=1.65604040739e-05
Transition|NOUN=8.28020203693e-06
Japan|NOUN=8.28020203693e-05
lists|NOUN=0.000173884242776
Seaman|NOUN=8.28020203693e-06
linked|VERB=8.91206024553e-05
vocation|NOUN=1.65604040739e-05
Hoag|NOUN=0.000173884242776
leaflets|NOUN=8.28020203693e-06
avidity|NOUN=8.28020203693e-06
planning|VERB=0.000445603012276
frequency-independent|ADJ=2.74228048045e-05
Clouds|NOUN=3.31208081477e-05
sock|VERB=1.11400753069e-05
residence|NOUN=0.000140763434628
shrilled|VERB=2.22801506138e-05
1945|NUM=0.000750300120048
Missy|NOUN=8.28020203693e-06
Sirs|NOUN=1.65604040739e-05
buffer|NOUN=0.000115922828517
gai|X=0.00169491525424
hare|NOUN=8.28020203693e-06
gerundial|ADJ=5.4845609609e-05
Cathy's|NOUN=8.28020203693e-06
defects|NOUN=2.48406061108e-05
fitting|VERB=5.57003765345e-05
smallness|NOUN=8.28020203693e-06
Aw|ADV=3.61232525377e-05
choking|NOUN=8.28020203693e-06
saws|NOUN=8.28020203693e-06
foothills|NOUN=8.28020203693e-06
Metropolian|ADJ=2.74228048045e-05
many-bodied|ADJ=2.74228048045e-05
blokes|NOUN=8.28020203693e-06
Eyke|NOUN=8.28020203693e-06
sneaked|VERB=6.68404518415e-05
4,427|NUM=0.00015006002401
K.G.|NOUN=8.28020203693e-06
$.027|NOUN=8.28020203693e-06
whites|NOUN=7.45218183324e-05
densitometry|NOUN=8.28020203693e-06
t'jawn|PRT=6.40122903597e-05
step|NOUN=0.000422290303883
delicately|ADV=7.22465050753e-05
Mayer|NOUN=2.48406061108e-05
dislocations|NOUN=8.28020203693e-06
infestations|NOUN=3.31208081477e-05
manifestly|ADV=3.61232525377e-05
hideaway|NOUN=8.28020203693e-06
bankers|NOUN=1.65604040739e-05
1868|NUM=0.000600240096038
Operation|NOUN=3.31208081477e-05
inhibiting|VERB=2.22801506138e-05
donor|NOUN=1.65604040739e-05
inventor|NOUN=2.48406061108e-05
Anybody|NOUN=1.65604040739e-05
quixotic|ADJ=2.74228048045e-05
underlies|VERB=1.11400753069e-05
childish|ADJ=0.000191959633631
migration|NOUN=2.48406061108e-05
confederates|NOUN=8.28020203693e-06
copies|NOUN=9.93624244432e-05
Span|NOUN=2.48406061108e-05
Surely|ADV=0.000252862767764
Du|NOUN=0.000372609091662
trade|NOUN=0.000289807071293
ball|NOUN=0.000347768485551
summarizing|VERB=3.34202259207e-05
sketched|VERB=2.22801506138e-05
upstairs|NOUN=8.28020203693e-06
aired|VERB=1.11400753069e-05
Witnesses|NOUN=1.65604040739e-05
criminal|ADJ=0.000109691219218
B's|NOUN=8.28020203693e-06
confine|VERB=1.11400753069e-05
143|NUM=0.00015006002401
Policemen's|NOUN=8.28020203693e-06
hay|NOUN=5.79614142585e-05
DRDW|NOUN=2.48406061108e-05
expenditures|NOUN=0.000281526869256
boarded|VERB=3.34202259207e-05
resignation|NOUN=8.28020203693e-06
rebelliously|ADV=7.22465050753e-05
blocks|NOUN=0.000231845657034
unspeakable|ADJ=5.4845609609e-05
monodisperse|ADJ=2.74228048045e-05
10-M-diameter|NOUN=8.28020203693e-06
flesh|NOUN=0.000273246667219
veldt|NOUN=8.28020203693e-06
helicopter|NOUN=8.28020203693e-06
hop|NOUN=8.28020203693e-06
train|NOUN=0.000256686263145
say|NOUN=8.28020203693e-06
attaining|VERB=4.45603012276e-05
correspond|VERB=4.45603012276e-05
decade|NOUN=0.000182164444812
mopping|VERB=2.22801506138e-05
coudn|VERB=1.11400753069e-05
harder|ADV=0.000288986020301
incompatibles|NOUN=8.28020203693e-06
foregoing|NOUN=2.48406061108e-05
reason|VERB=2.22801506138e-05
neutralization|NOUN=1.65604040739e-05
dragons|NOUN=8.28020203693e-06
eyes|NOUN=0.00249234081312
cavernous|ADJ=2.74228048045e-05
whirled|VERB=4.45603012276e-05
complain|VERB=5.57003765345e-05
Vanguard|NOUN=8.28020203693e-06
editor's|NOUN=8.28020203693e-06
popularly|ADV=0.000108369757613
needlessly|ADV=3.61232525377e-05
Hindu|NOUN=8.28020203693e-06
postwar|ADJ=0.000137114024022
hobbing|NOUN=8.28020203693e-06
monkeys|NOUN=8.28020203693e-06
ominous|ADJ=0.00024680524324
boards|NOUN=0.00021528525296
spared|VERB=2.22801506138e-05
Hirey|NOUN=4.96812122216e-05
barnyard|NOUN=8.28020203693e-06
borrowing|VERB=4.45603012276e-05
domain|NOUN=3.31208081477e-05
Jess|NOUN=0.000273246667219
plaintiff|NOUN=4.14010101846e-05
dome|NOUN=4.14010101846e-05
Next|ADV=0.000180616262688
conformed|VERB=1.11400753069e-05
globes|NOUN=8.28020203693e-06
Downfall|NOUN=8.28020203693e-06
upstream|ADJ=5.4845609609e-05
tenspot|NOUN=8.28020203693e-06
homicide|NOUN=8.28020203693e-06
Ole|ADJ=8.22684144134e-05
mixtures|NOUN=3.31208081477e-05
varityping|VERB=1.11400753069e-05
staining|NOUN=0.000190444646849
LITORIGIN|NOUN=1.65604040739e-05
sewage|NOUN=0.000198724848886
foyer|NOUN=8.28020203693e-06
limp|ADJ=0.000301650852849
Makes|VERB=1.11400753069e-05
wheezing|VERB=1.11400753069e-05
marine|NOUN=0.000273246667219
expeditions|NOUN=8.28020203693e-06
powders|NOUN=3.31208081477e-05
talents|NOUN=4.14010101846e-05
urban-fringe|NOUN=8.28020203693e-06
hazards|NOUN=1.65604040739e-05
busboy|NOUN=1.65604040739e-05
usually|ADV=0.00285373695048
swatches|NOUN=2.48406061108e-05
induction|NOUN=3.31208081477e-05
sheds|VERB=2.22801506138e-05
economist's|NOUN=8.28020203693e-06
bear-like|ADJ=2.74228048045e-05
That|PRON=0.000477432149546
abreast|ADV=0.000108369757613
powdery|ADJ=5.4845609609e-05
Wage-price|NOUN=8.28020203693e-06
taxpayer's|NOUN=8.28020203693e-06
shriek|VERB=1.11400753069e-05
precise|ADJ=0.000521033291285
More's|NOUN=5.79614142585e-05
phagocytes|NOUN=8.28020203693e-06
Pen|NOUN=8.28020203693e-06
chiefdoms|NOUN=8.28020203693e-06
ocelot|NOUN=8.28020203693e-06
gasped|VERB=5.57003765345e-05
unabated|ADJ=5.4845609609e-05
muscle|NOUN=0.000173884242776
analogies|NOUN=8.28020203693e-06
Supper|NOUN=4.14010101846e-05
Production|NOUN=2.48406061108e-05
calamity|NOUN=8.28020203693e-06
transducer|NOUN=2.48406061108e-05
agreeably|ADV=3.61232525377e-05
romantics|NOUN=8.28020203693e-06
close|ADJ=0.000932375363352
sequences|NOUN=2.48406061108e-05
wiped|VERB=0.00014482097899
tended|VERB=0.000133680903683
late|ADV=0.000722465050753
pimplike|ADJ=2.74228048045e-05
twenty-first|ADJ=5.4845609609e-05
Pip's|NOUN=0.00010764262648
warrant|NOUN=2.48406061108e-05
ESN|NOUN=8.28020203693e-06
moonlight|NOUN=9.93624244432e-05
Low|ADJ=2.74228048045e-05
admirable|ADJ=8.22684144134e-05
sorption|NOUN=8.28020203693e-06
Education|NOUN=0.000115922828517
yearned|VERB=2.22801506138e-05
hear|VERB=0.00104716707885
hotbed|NOUN=8.28020203693e-06
Braque's|NOUN=3.31208081477e-05
prep|NOUN=8.28020203693e-06
Veterans|NOUN=8.28020203693e-06
Sonenberg|NOUN=8.28020203693e-06
preserves|NOUN=8.28020203693e-06
pre-war|ADJ=0.000109691219218
delphic|ADJ=2.74228048045e-05
boo|VERB=1.11400753069e-05
husbun|NOUN=8.28020203693e-06
centrifuged|VERB=7.79805271484e-05
strict|ADJ=0.000137114024022
improve|VERB=0.000122540828376
faced|VERB=0.000233941581445
secondarily|ADV=3.61232525377e-05
titillating|VERB=1.11400753069e-05
paunchy|ADJ=5.4845609609e-05
fence|NOUN=0.000132483232591
drinks|NOUN=9.10822224062e-05
Snow|NOUN=1.65604040739e-05
red-faced|ADJ=2.74228048045e-05
Talmud|NOUN=1.65604040739e-05
overboard|ADV=7.22465050753e-05
rewarding|ADJ=8.22684144134e-05
whisper|NOUN=5.79614142585e-05
Jesus|NOUN=4.14010101846e-05
minstrel|NOUN=1.65604040739e-05
communion|NOUN=3.31208081477e-05
adamant|ADJ=5.4845609609e-05
to|PRT=0.432915119703
bleary|ADJ=5.4845609609e-05
blot-appearance|NOUN=8.28020203693e-06
excitability|NOUN=3.31208081477e-05
south-eastern|ADJ=2.74228048045e-05
propagate|VERB=1.11400753069e-05
Phil|NOUN=0.000496812122216
continual|ADJ=0.000109691219218
Bancroft|NOUN=3.31208081477e-05
kerosene|NOUN=8.28020203693e-06
kilometers|NOUN=1.65604040739e-05
lilting|VERB=1.11400753069e-05
Dear|ADJ=0.000109691219218
Irv|NOUN=8.28020203693e-06
Increased|VERB=4.45603012276e-05
objections|NOUN=4.96812122216e-05
marriage|NOUN=0.000339488283514
Johns|NOUN=8.28020203693e-06
Battenkill|NOUN=3.31208081477e-05
outfit|NOUN=9.93624244432e-05
Christophers'|NOUN=8.28020203693e-06
additives|NOUN=8.28020203693e-06
tangents|NOUN=4.96812122216e-05
dirty|ADJ=0.000877529753743
Japanese|NOUN=4.14010101846e-05
workings|NOUN=1.65604040739e-05
Substances|NOUN=4.96812122216e-05
discharges|NOUN=7.45218183324e-05
manifestation|NOUN=8.28020203693e-06
Islands|NOUN=0.00010764262648
clammy|ADJ=5.4845609609e-05
geochemistry|NOUN=8.28020203693e-06
purgatory|NOUN=8.28020203693e-06
rehearsals|NOUN=3.31208081477e-05
swaying|VERB=2.22801506138e-05
depose|VERB=1.11400753069e-05
drier|ADJ=5.4845609609e-05
freeze|VERB=1.11400753069e-05
workbench|NOUN=6.62416162954e-05
mounds|NOUN=8.28020203693e-06
shot|VERB=0.000267361807366
Mis-ter|NOUN=1.65604040739e-05
wealthy|ADJ=8.22684144134e-05
study|VERB=0.000233941581445
shaded|VERB=5.57003765345e-05
elaborately|ADV=0.000108369757613
misfortune|NOUN=2.48406061108e-05
agonized|VERB=1.11400753069e-05
figured|VERB=0.000167101129604
noteworthy|ADJ=5.4845609609e-05
Brewery|NOUN=8.28020203693e-06
H.|NOUN=0.000140763434628
inside|ADJ=0.000109691219218
'ello|PRT=6.40122903597e-05
Michelangelo's|NOUN=8.28020203693e-06
first|ADJ=0.0100367465584
yearly|ADV=3.61232525377e-05
marbleized|VERB=1.11400753069e-05
Reno|NOUN=8.28020203693e-06
showered|VERB=3.34202259207e-05
warns|VERB=1.11400753069e-05
shore|NOUN=0.00010764262648
Rheumatics|NOUN=8.28020203693e-06
Brumidi-Costaggini|NOUN=8.28020203693e-06
Las|X=0.00169491525424
intention|NOUN=7.45218183324e-05
electromagnet|NOUN=8.28020203693e-06
bent|NOUN=8.28020203693e-06
Polymerization|NOUN=8.28020203693e-06
Stock|NOUN=8.28020203693e-06
Dicke|NOUN=8.28020203693e-06
prefer|VERB=0.000100260677762
Necklace|NOUN=8.28020203693e-06
sheets|NOUN=0.000124203030554
grave|NOUN=6.62416162954e-05
decompression|NOUN=8.28020203693e-06
mutton|NOUN=2.48406061108e-05
